Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2060,3993.0,21.08256280126066,3,1063,390.7447725468983,21.08256280126066,9.969705315340116
2061,4144.0,21.95534390063033,2,850,300.19185784286606,21.95534390063033,3.781617831204609
2062,3859.0,20.554539766407117,1,1101,334.60790033963184,20.554539766407117,-6.877413127413123
2063,5569.0,29.612092139414163,0,2589,755.4640305899094,29.612092139414163,44.311997926924064
2064,4044.0,21.33106808490916,0,1227,406.53010623166307,21.33106808490916,-27.383731370084398
2065,5167.0,27.596328096032625,0,2372,700.3726875850824,27.596328096032625,27.769535113748756
2066,4721.0,25.026476177233963,0,1884,571.2561053317398,25.026476177233963,-8.631701180568996
2067,5513.0,29.77225852799407,5,2331,776.5509359086537,29.77225852799407,16.776106757042996
2068,3923.0,20.750521412680758,0,962,358.2336612612026,20.750521412680758,-28.840921458371128
2069,3734.0,20.01941972562106,5,781,268.30438390798315,20.01941972562106,-4.81774152434361
2070,5560.0,29.55661383018168,2,1036,418.67612419350706,29.55661383018168,48.90198178896625
2071,6600.0,34.941891453466816,0,2557,714.5788333633378,34.941891453466816,18.705035971223015
2072,2726.0,14.57136401557286,0,878,273.03740447496244,14.57136401557286,-58.69696969696969
2073,5484.0,29.156006674082317,1,1356,482.46299905230603,29.156006674082317,101.17388114453409
2074,4659.0,25.08121871523915,0,1683,551.6206082576551,25.08121871523915,-15.043763676148792
2075,5174.0,28.221061596218018,0,1937,539.688939589419,28.221061596218018,11.053874221936045
2076,2217.0,11.784245226177234,2,464,170.78648285878108,11.784245226177234,-57.15114031696946
2077,4195.0,22.523880700778648,0,977,370.0777457221494,22.523880700778648,89.21966621560668
2078,6140.0,32.26566555431962,0,1997,684.0610463631994,32.26566555431962,46.36471990464839
2079,2029.0,10.853720569150909,0,699,198.87614159815575,10.853720569150909,-66.9543973941368
2080,5400.0,29.112804736744533,7,1510,489.39684584932985,29.112804736744533,166.1409561360276
2081,7544.0,39.915525352243236,0,1626,620.9977797256947,39.915525352243236,39.70370370370371
2082,3302.0,17.449307100482017,0,1276,370.63528589641214,17.449307100482017,-56.23011664899258
2083,6682.0,36.19741842788282,6,2354,681.0242063957563,36.19741842788282,102.36220472440945
2084,3768.0,20.1591061827957,2,754,320.88655599476556,20.1591061827957,-43.60969769530081
2085,4562.0,24.340326056729698,4,867,316.15325205962813,24.340326056729698,21.072186836518036
2086,3601.0,19.291991101223584,0,878,309.89835821482245,19.291991101223584,-21.065322227093375
2087,3431.0,18.158254542083796,0,935,339.22142361947635,18.158254542083796,-4.720910858094973
2088,4465.0,24.145949202817945,0,1231,396.0611656924937,24.145949202817945,30.136986301369873
2089,6254.0,33.484803717093065,0,1539,619.1994587343966,33.484803717093065,40.06718924972004
2090,4584.0,24.565947117167223,0,950,359.6265740004105,24.565947117167223,-26.702910137511992
2091,4209.0,22.92878082128291,1,1523,430.28386507682876,22.92878082128291,-8.180628272251312
2092,7545.0,40.26501668520579,0,1674,680.1677767620681,40.26501668520579,79.25873129009267
2093,3783.0,20.12054481831665,0,1679,492.05526759057904,20.12054481831665,-49.860834990059644
2094,5050.0,26.80360122358176,0,2088,600.8203230634435,26.80360122358176,33.49193761564895
2095,4625.0,24.44209422506489,0,1348,490.5782225336164,24.44209422506489,-8.415841584158413
2096,2768.0,14.732393631813125,2,818,251.29965211180684,14.732393631813125,-40.15135135135135
2097,2345.0,12.494096449758993,2,567,204.61247555199353,12.494096449758993,-15.281791907514453
2098,2907.0,15.388898544679273,0,775,284.3445812901855,15.388898544679273,23.96588486140725
2099,4686.0,24.818218159065626,2,1644,499.0499155213015,24.818218159065626,61.19711042311662
2100,6113.0,32.46640943641082,0,1711,597.7505497253597,32.46640943641082,30.452411438326934
2006,8997.0,47.429951103077485,1,3418,1029.6537922127911,47.429951103077485,
2007,5062.0,27.552135474601403,0,1988,558.2060280012835,27.552135474601403,-43.736801155940874
2008,5133.0,27.76942551909529,0,2044,713.1141850426836,27.76942551909529,1.4026076649545693
2009,4506.0,23.73894025769373,0,1594,471.651932524977,23.73894025769373,-12.21507890122735
2010,3185.0,16.75294308490916,0,662,249.1602107200518,16.75294308490916,-29.316466932978248
2011,4985.0,26.351380005561733,0,1808,557.9036179930158,26.351380005561733,56.51491365777079
2012,4719.0,25.10668103448276,0,1186,397.39701353135047,25.10668103448276,-5.336008024072214
2013,6464.0,34.66828883945124,1,1978,682.0027103829551,34.66828883945124,36.97817334180971
2014,5752.0,30.670339729328887,0,1211,429.6993311043376,30.670339729328887,-11.014851485148514
2015,5289.0,27.937859195402297,0,1567,447.8640469444434,27.937859195402297,-8.04937413073713
2016,8209.0,43.34406284760846,6,2585,774.8606277416877,43.34406284760846,55.208924182265086
2017,5670.0,29.836792037449015,0,1707,578.3818336138727,29.836792037449015,-30.929467657449138
2018,5723.0,30.171776510938077,0,1683,507.5349443111969,30.171776510938077,0.934744268077603
2019,9319.0,50.00205668335187,0,3436,1108.3445852698383,50.00205668335187,62.834177878734934
2020,7329.0,38.87590957545421,5,2039,713.4719367609734,38.87590957545421,-21.354222556068247
2021,4983.0,26.518197302558395,8,1063,389.61989052268507,26.518197302558395,-32.00982398690135
2022,9162.0,49.73219086021505,0,3596,1080.6421070994613,49.73219086021505,83.86514148103552
2023,3122.0,16.836641407119025,1,1406,396.19688249274463,16.836641407119025,-65.92447063959834
2024,4933.0,26.4977115776789,0,1338,522.6885842072754,26.4977115776789,58.007687379884686
2025,4601.0,24.446734797923614,1,1738,496.4073580755176,24.446734797923614,-6.730184471923783
2026,5682.0,30.356553578049688,0,1293,449.5849601172579,30.356553578049688,23.494892414692448
2027,8800.0,47.33284668149796,0,1900,779.4264013693115,47.33284668149796,54.87504399859204
2028,3450.0,18.27996964219503,0,686,242.74359836142858,18.27996964219503,-60.79545454545454
