precip bcc-csm1-1 rcp60 RNEURONALES decimas 2
P3671 38.226 -1.928 831 geo 2006 2100 -1
P3671 2014 4 4 0 0 0 0 0 0 1 1 1 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 23 19 -999
P3671 2014 5 2 1 0 0 0 5 0 13 4 0 0 5 15 2 2 1 0 0 0 0 0 3 0 0 3 0 0 0 0 34 5
P3671 2014 6 48 8 1 3 11 0 3 8 0 14 14 0 0 0 0 0 11 0 0 0 0 0 0 29 0 0 0 0 0 0 -999
P3671 2014 7 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 44 0 0 0 0 0 19 12 26 0
P3671 2014 8 0 12 37 70 24 25 64 48 27 19 0 10 11 10 0 0 11 9 0 0 8 11 31 47 47 40 33 0 25 27 0
P3671 2014 9 0 55 58 49 27 12 5 0 0 8 5 8 21 37 46 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 -999
P3671 2014 10 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 4 4 0 0 0 0 0 0
P3671 2014 11 0 0 3 20 10 1 0 0 0 0 0 0 1 0 0 0 0 3 2 7 7 2 2 2 4 18 4 2 2 2 -999
P3671 2014 12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 14 2 36 2 1 0 4 3 0 0 3 0 0 0
P3671 2015 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 11 22 2 0 0 2
P3671 2015 2 2 0 0 0 0 0 0 0 1 26 10 21 19 14 18 9 6 18 32 19 12 2 0 0 0 0 0 2 -999 -999 -999
P3671 2015 3 3 8 27 277 311 12 15 58 38 33 23 49 36 18 51 44 10 13 55 21 3 28 70 134 454 532 228 40 0 0 13
P3671 2015 4 10 3 0 0 9 147 62 2 2 22 26 23 2 2 2 10 5 2 2 0 0 1 4 4 11 0 0 0 0 0 -999
P3671 2015 5 2 0 3 11 58 43 6 5 3 12 8 0 0 0 0 0 0 0 0 0 0 0 0 60 61 52 20 32 32 0 0
P3671 2015 6 0 22 35 65 89 37 25 11 0 0 0 0 0 7 20 0 0 0 0 0 0 0 0 0 6 34 32 0 21 0 -999
P3671 2015 7 0 0 0 0 0 0 6 8 8 0 0 0 0 28 13 0 0 0 0 0 0 0 0 40 39 0 45 42 0 0 0
P3671 2015 8 0 0 33 0 0 0 7 22 38 0 4 0 0 0 3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2015 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 14 9 0 0 0 0 0 0 7 4 9 0 0 -999
P3671 2015 10 0 0 0 0 0 0 0 0 0 12 11 79 2 2 25 4 2 10 17 20 5 0 0 0 0 0 2 2 0 0 0
P3671 2015 11 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2015 12 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 2 0 1 1 1 1
P3671 2016 1 0 0 0 0 2 3 2 15 17 2 38 143 91 31 47 2 1 0 0 1 2 0 0 0 2 2 9 441 249 88 18
P3671 2016 2 17 19 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -999 -999 -999
P3671 2016 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 3
P3671 2016 4 2 0 0 10 31 25 2 2 4 2 1 10 9 2 0 0 5 3 27 20 1 0 6 9 19 8 5 6 0 17 -999
P3671 2016 5 19 2 1 0 1 0 1 2 16 0 2 0 0 0 0 0 5 0 0 0 0 10 77 3 8 12 9 0 0 0 0
P3671 2016 6 4 9 0 5 40 4 0 9 30 22 20 30 31 18 21 28 0 0 0 0 0 0 6 33 16 34 34 44 0 0 -999
P3671 2016 7 12 0 0 0 0 0 0 0 0 0 0 27 27 29 25 0 0 0 43 0 0 0 0 0 54 0 0 0 0 0 0
P3671 2016 8 14 41 0 0 18 6 0 0 0 0 0 0 9 18 16 7 0 17 24 28 12 11 14 18 10 0 0 0 0 0 0
P3671 2016 9 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 30 -999
P3671 2016 10 7 0 0 0 0 0 0 13 18 3 2 0 0 0 0 0 0 0 0 0 9 6 0 1 2 14 3 2 2 0 0
P3671 2016 11 0 0 0 3 12 27 2 2 2 2 0 0 8 13 1 1 0 0 0 0 0 0 0 3 14 2 0 0 0 0 -999
P3671 2016 12 0 0 0 0 0 0 0 0 0 0 0 0 0 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
P3671 2017 1 9 0 1 14 2 2 1 0 0 3 25 2 0 0 0 0 0 0 0 1 4 0 0 0 0 1 2 15 0 0 0
P3671 2017 2 0 0 0 2 1 1 3 1 1 2 1 1 2 16 57 10 2 1 10 19 21 23 2 0 0 11 78 133 -999 -999 -999
P3671 2017 3 15 13 19 30 48 25 2 2 24 59 95 80 52 8 6 25 104 53 26 20 2 14 15 0 0 0 0 1 9 5 16
P3671 2017 4 24 22 17 3 3 4 60 44 3 26 32 64 27 2 0 0 0 0 2 2 1 11 3 2 0 2 2 2 2 2 -999
P3671 2017 5 2 1 0 0 1 0 5 2 0 0 0 0 0 2 7 0 0 0 0 0 0 5 13 36 9 0 0 0 0 0 0
P3671 2017 6 12 5 0 0 0 2 10 47 15 0 0 0 24 31 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 -999
